ID real3;Categoria Cise2;Subcategoria CISE3;Coletor de Custo (Carga);PEP SIGEP;PEP especifico;RC;Valor RC;Contrato;Valor Contrato;Pedido;ID real2;Valor Pedido;Objeto;Contratada;Especificação;Local da Instalação;jan/26;fev/26;mar/26;abr/26;mai/26;jun/26;jul/26;ago/26;set/26;out/26;nov/26;dez/26;2026;2027;2028;2029;2030;2026-2030
COO.NO26.058;Modernização;Modernização;NGHI.0143;NGHI.0143;;Não emitido;;;;;COO.NO26.058;;;;Fornecimento de dois jogos de SptoLogs, um para a CF I e outro para a CF 2.;UHE Tucuruí;;;;;;;;;;;;;2000000;9500000;10000000;;;21500000
COO.NO26.073;Modernização;Modernização;NGHI.0141;NGHI.0141;;Não emitido;;;;;COO.NO26.073;;;;Substituição de Turbinas para ganho de potencia na Geração;UHE Curuá Una;;;;;;;;;;;;;;3600000;;;;3600000
COO.NO26.004;Modernização;Modernização;NGHI.0143;NGHI.0143;;Cancelado;;;;;COO.NO26.004;;;;Substituição das rodas das comportas de emergência;UHE Tucuruí;;;;;;;;;1000000;;1000000;2500000;2500000;;;;;6000000
COO.NO26.065;Modernização;Modernização;NGHI.0143;NGHI.0143;;Não emitido;;;;;COO.NO26.065;;;;Necessidade de peças sobressalentes para uso na manutenção do distribuidor.;UHE Tucuruí;;;;;;;;;;;;;;3000000;2500000;;;5500000
COO.NO26.072;Modernização;Modernização;NGHI.0141;NGHI.0141;;Não emitido;;;;;COO.NO26.072;;;;Instalação de sistema de resfriamento em cirtuito fechado para o transformador, Regulador de tensão e Velocidade.;UHE Tucuruí;;;;;;;;;;;;;;1000000;3000000;;;4000000
COO.NO26.091;Modernização;Modernização;NGHI.0141;NGHI.0141;;Não emitido;;;;;COO.NO26.091;;;;Modernização do geradores elétricos da UHE Curuá-Una;UHE Curuá Una;;;;;;;;;;;;;;1800000;;;;1800000
COO.NO26.095;Modernização;Modernização;NGHI.0143;NGHI.0143;;Não emitido;;;;Embutir;4500080352;COO.NO26.095;;;Aquisição de um conjunto de servomotores (4) do distribuidor da CF2;UHE Tucuruí;;;;;;;;;;;;650000;750000;;;;;1400000
COO.NO26.100;Modernização;Modernização;NGHI.0141;NGHI.0141;;Não emitido;;;;;COO.NO26.100;;;;Revitalização ETA;UHE Tucuruí;;;;;;;;;;;;;;1000000;;;;1000000
COO.NO26.099;Modernização;Modernização;NGHI.0141;NGHI.0141;;Não emitido;;;;;COO.NO26.099;;;;Revitalização ETE;UHE Tucuruí;;;;;;;;;;;;;;1000000;;;;1000000
COO.NO26.102;Modernização;Modernização;NGHI.0143;NGHI.0143;;Não emitido;;;;;COO.NO26.102;;;;sistema de refrigeração predial edificio comando;UHE Tucuruí;;;;;;;;;;;951000;;;;;;;951000
COO.NO26.103;Modernização;Modernização;NGHI.0143;NGHI.0143;;Não emitido;;;;;COO.NO26.103;;;;Necessidade de equipamentos sobressalentes;UHE Tucuruí;;;;;;;;;;;;450280;450280;;;;;900560
COO.NO26.001;Modernização;Modernização;A definir;NGHI.0157;;Não emitido;;;;;COO.NO26.001;;;;;Diversas UHE;;;;;;;;;;;;;7820000;4692000;;;;12512000
